name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
I Miss Her,Edição especial para alguém muito especial,Olodum,3vdevXZtf1T08rQubQcwY4,1998-01-01,38,247946,0.674,0.482,0.612,6.63e-06,0.0663,0.943,-8.034,0.0918,82.908,11,4,happy
Taj Mahal,Africa Brasil,Jorge Ben Jor,2jjPWBfnx57puOtvQPKE1k,1976-01-01,0,186933,0.587,0.556,0.703,0,0.596,0.725,-5.789,0.0556,136.704,6,4,happy
Voltei Pra Voce,Olodum Pela Vida,Olodum,4AmEJWXOSkxs1f1HjIoOtT,2006-01-01,13,216493,0.675,0.0698,0.549,8.22e-06,0.0416,0.872,-14.496,0.104,102.841,1,4,happy
Canto do pescador,Da Atlântida a Bahia... O Mar é o Caminho,Olodum,0iVHkCm4zGqO1ACZsgBchu,1991,30,207226,0.477,0.373,0.897,5.93e-05,0.068,0.881,-10.849,0.0476,94.655,8,4,happy
Vem meu amor,A Música do Olodum,Olodum,6Vi3zrYtd2n53YUiYLTnNC,1992,49,156240,0.619,0.644,0.631,0,0.759,0.949,-12.295,0.0529,153.246,5,4,happy
Madagáscar olodum,The Best of Olodum,Olodum,1YotTsjzqd5ckXkZS1VhRN,1992,41,257120,0.572,0.905,0.555,1.14e-06,0.154,0.931,-11.292,0.175,123.778,4,5,happy
ARTEFIREACCUA,ARTEFIREACCUA (Incinerando o Inferno),Carlinhos Brown,1pLfOCAqhcfsWPwSporgbC,2016-03-25,7,63253,0.717,0.204,0.86,0.952,0.0869,0.925,-11.099,0.0876,82.056,1,4,happy
Batidão do Orixá,Sarau Du Brown Ritual Beat System,Carlinhos Brown,5qrNX39eOws9wveADm0JeR,2015-01-27,8,212228,0.744,0.331,0.916,0,0.614,0.577,-8.175,0.217,134.162,9,4,happy
Afroascendente,Marabô,Carlinhos Brown,72KC1iwsy4SkUc6iMStBpU,2014-01-01,3,337196,0.661,0.289,0.625,4.02e-06,0.125,0.721,-8.406,0.0434,129.823,2,4,happy
Princesa Negra De Angola,Black Rio Vol. 2 - Original Samba Soul 1968-1981,Various Artists,0tQy4aiufsaZnNU4LiGU92,1976,25,222880,0.633,0.112,0.776,4.1e-06,0.812,0.741,-9.323,0.113,126.179,9,4,happy
Os Orixas,Samba Rock,Trio Mocoto,6IX7n2ZOgRzU8KX5yFryAx,2001-01-01,11,249720,0.473,0.264,0.8,2.04e-06,0.0896,0.847,-6.249,0.0521,112.736,5,4,happy
Back In Bahia,Expresso 2222,Gilberto Gil,6SNNFsnvdo7mfCzrNbL7Wa,1972,0,275906,0.652,0.384,0.829,0.00316,0.0908,0.925,-4.87,0.0463,139.534,2,4,happy
Não Quero Entrar,Adoniran Barbosa,Adoniran Barbosa,3ZEkudtsTqHtZPdeuFz7Ha,1975,27,156426,0.522,0.182,0.769,7.11e-06,0.11,0.948,-7.831,0.0325,84.477,11,4,happy
Ocupai,Ocupai / Kalimba,Bixiga 70,65Z3v2yPT768rDp8YSJwUO,2014-04-28,17,205185,0.733,0.263,0.926,0.863,0.0429,0.966,-6.554,0.0537,118.017,9,4,happy
Bogotá,Nó na Orelha,Criolo,4rs10r8un0bWd5wObZUob9,2011-04-25,0,279928,0.724,0.0155,0.847,0.000237,0.131,0.907,-6.217,0.0677,121.95,5,4,happy
Malandragem dá um Tempo,Alô Malandragem Maloca o Flagrante,Bezerra Da Silva,0rImThhPOV8wtgeyltD6no,1986-02-15,60,232800,0.695,0.229,0.924,0,0.264,0.964,-4.178,0.0454,94.827,9,4,happy
Segura Nêga (Cutuca Nêga),Brasil Som 75,Various Artists,53vfyFKlfIXTvpeMewCMJc,2004-01-01,34,162906,0.616,0.225,0.603,0,0.0768,0.823,-9.488,0.179,173.125,7,4,happy
Swinga Sambaby,Trio Mocotó,Trio Mocoto,3rlfQRL4gIRARv6vGawaj2,1973-01-01,34,94266,0.718,0.298,0.556,0,0.513,0.897,-8.499,0.169,107.76,0,4,happy
Nossa Gente (Avisa Lá),A Música Do Olodum - 20 Anos,Olodum,1QluL2jd49QDy4TTKusBav,1999-11-05,41,183333,0.74,0.527,0.896,0,0.0506,0.967,-5.401,0.0926,90.029,0,4,happy
Carlito Marron,Carlinhos Brown Es Carlito Marron,Carlinhos Brown,56Zo2NIzYJAWxlozHTwPxr,2003-01-01,37,246533,0.916,0.4,0.77,4.02e-06,0.332,0.978,-4.492,0.0467,129.974,2,4,happy
Novas Idéias,Tudo,Bebel Gilberto,4xAArKDZeMfozKADrtRmlT,2014-08-15,36,206920,0.759,0.272,0.415,0.000151,0.133,0.632,-10.568,0.14,94.058,7,4,happy
Take It Easy My Brother Charles,Jorge Ben (1969),Jorge Ben Jor,5rjSKhSHGsKP2RJtbRWQkl,1969,0,155666,0.507,0.464,0.746,0,0.0804,0.749,-5.696,0.162,84.919,4,4,happy
Jorge Da Capadócia,A Arte De Jorge Ben Jor,Jorge Ben Jor,3Uma9BfJM7Q9rosS31g3YV,2015-10-30,34,230493,0.497,0.333,0.689,0,0.0742,0.611,-10.033,0.049,111.531,4,4,happy
Dentro de Cada Um,Deus É Mulher,Elza Soares,37ryg3I77I25mwtvFoq7YR,2018-05-18,26,238786,0.598,0.636,0.681,0.000166,0.259,0.404,-6.206,0.0373,126.05,9,5,happy
Cobra Cainana,"Elza Negra, Negra Elza",Elza Soares,0Hvus6jY8XajdKOjn6CRuq,1980-01-01,8,201600,0.537,0.246,0.917,3.3e-05,0.282,0.817,-6.752,0.217,130.39,11,4,happy
Artimanha,"Elza Negra, Negra Elza",Elza Soares,4rFDMIzGt2cwEzvD2pTUeD,1980-01-01,5,171506,0.644,0.44,0.854,0,0.0704,0.725,-8.268,0.244,124.864,11,4,happy
País Tropical,Jorge Ben Sem Limite,Jorge Ben Jor,6kyljOCPWaPk0ISkx2Us8T,2001-01-08,33,251346,0.477,0.597,0.754,0,0.475,0.766,-6.443,0.119,82.129,0,4,happy
Tim Dom Dom,The Definitive Collection,Jorge Ben Jor,2NTSHQfQP114cX46UtZEgP,2012-07-16,0,139626,0.743,0.854,0.447,0,0.162,0.891,-6.96,0.0859,86.404,11,4,happy
Patapatapata,Big Ben (1965),Jorge Ben Jor,3lQ1cENQZ1e8w6EbpnQ3ln,2011-01-01,0,162386,0.499,0.753,0.841,0,0.0984,0.843,-7.18,0.0375,87.451,1,4,happy
Besta é Tu,Acabou Chorare,Novos Baianos,79Lam1bAWszDiRLTH2V4ue,1972,47,264933,0.695,0.404,0.768,5e-06,0.11,0.979,-5.7,0.0439,111.681,4,4,happy
Sou Brasileiro Sou,Sou Brasileiro Sou,Timbalada,06HR0N4duw40EZXomNAkWy,2018-06-08,4,232350,0.511,0.47,0.65,1.92e-06,0.116,0.795,-12.586,0.163,176.027,0,4,happy
Xangô do Candeal,Timbalada Séc. XXI,Timbalada,0wQL3nUYI9MwyJIkZgG1VG,2017-12-15,20,208244,0.732,0.375,0.885,0,0.028,0.963,-7.239,0.11,97.99,8,4,happy
Bêbadosamba/Coleção De Passarinhos/O Que Sera De Mim/Pam-Pam-Pam/A Fonte Secou/A Primeira Vez/Sei Que E Covardia Ma (Pois E)/Que Samba Bom - Ao Vivo,Paulinho Da Viola (Ao Vivo),Paulinho Da Viola,4veDiDamJSWgfPvy3yTmII,1997-10-31,26,470093,0.599,0.586,0.687,7.74e-05,0.701,0.79,-11.191,0.0582,116.818,11,4,happy
Chora Viola Chora - Live,Roda De Samba Ao Vivo,Dudu Nobre,1nSgwzHovFSXf6SfVzl7LE,2008-01-01,25,147400,0.51,0.768,0.753,1.25e-06,0.817,0.854,-11.414,0.805,92.849,10,4,happy
Samba de Viola,Peixe Que Já Não Há,Tribo Brasil,3OGkpMtIy52eVLJ9Vbl2xI,2014-07-24,1,180819,0.804,0.719,0.798,0.00102,0.0803,0.888,-9.695,0.119,100.017,2,4,happy
Timoneiro,Bebadosamba,Paulinho Da Viola,3C8ULtjiUmTtcpE7QJBZ7G,1996-09-16,55,205200,0.705,0.284,0.337,3.12e-06,0.0747,0.6,-14.457,0.343,96.556,11,4,happy
Argumento,Paulinho Da Viola,Paulinho Da Viola,7vv1VBVTfGNC1VszL1bdBT,1975,44,196893,0.75,0.827,0.687,8.02e-05,0.237,0.885,-8.339,0.0559,114.258,2,4,happy
Certidão,Certidão,Casuarina,3i5PT12Fp8I6UNqfsEyAWg,2007-07-01,39,233040,0.764,0.537,0.469,0,0.102,0.467,-7.474,0.0373,103.969,2,4,happy
Sangue latino,Dois Momentos,Secos & Molhados,4xWKYStXoKsDkekko5vQb3,1973,0,129693,0.55,0.481,0.408,0.00029,0.0802,0.709,-8.487,0.0327,134.068,2,4,happy
Alvorada,Raizes Do Samba,Cartola,7Bq17tNAUCLceZQOJMnj3D,1999-01-01,45,158800,0.705,0.727,0.355,1.35e-05,0.183,0.846,-13.347,0.131,93.388,1,4,happy
Falador Passa Mal,É Preciso Cantar,Os Originais Do Samba,2bKOB6DLw8inrQC8UmghQN,1973-07-14,50,190533,0.787,0.184,0.648,0.00442,0.112,0.764,-11.148,0.12,88.585,5,4,happy
Pode Ser,Fazendo as Pazes Com o Swing (Making Peace with the Swing),Orquestra Imperial,02stsTAKsSlebcxyjLpnti,2014-02-24,0,189822,0.57,0.536,0.621,0.00837,0.129,0.831,-9.924,0.0387,93.776,11,4,happy
A Saudade É Que Me Consola,Fazendo as Pazes Com o Swing (Making Peace with the Swing),Orquestra Imperial,3loFvp8PtnQqdSzSLp9znC,2014-02-24,0,190286,0.639,0.534,0.588,0.000562,0.0721,0.866,-9.193,0.139,129.414,10,3,happy
Maná,Cavalo,Rodrigo Amarante,4VV2tGEuXjsvRFGxWrkqoz,2014-04-28,0,159853,0.521,0.0296,0.845,0.318,0.418,0.974,-7.277,0.0435,197.065,7,4,happy
Quem Não Viu Vai Ver... As Fábulas Do Beija-Flor,Sambas De Enredo Das Escolas De Samba 2019,Various Artists,7BBhoohJAStrETA8SztlrQ,2018-11-30,31,352600,0.493,0.393,0.77,2.32e-06,0.226,0.825,-8.654,0.0663,139.819,11,4,happy
Eu Sou O Tempo. Tempo É Vida,Sambas De Enredo Das Escolas De Samba 2019,Various Artists,1rzBlhmgfKX6F7AES8xPJV,2018-11-30,30,342413,0.522,0.287,0.632,7.59e-06,0.0747,0.908,-8.874,0.0548,142.937,3,4,happy
Tropicália - Remastered 2006,Caetano Veloso,Caetano Veloso,4cMbAhrwsZsAHceaGvZy9y,1967-01-01,52,222106,0.51,0.191,0.696,0,0.0973,0.384,-6.128,0.0748,96.872,8,4,happy
Refavela,Refavela,Gilberto Gil,5LDlVW9r05U87BBgXKvoUW,2019-11-12,44,239877,0.507,0.578,0.706,0.0507,0.77,0.711,-11.537,0.0386,170.926,0,4,happy
Patuscada de Gandhi,Refavela,Gilberto Gil,3qOey2IdTbZBqy9P27MkA7,1977,33,155186,0.752,0.498,0.78,0,0.107,0.733,-9.455,0.343,119.59,10,4,happy
The Girl From Ipanema,The Girl From Ipanema - The Bossa Nova Years,Stan Getz,3898C4AbdbptwYet6547e5,1989-01-01,72,321826,0.664,0.909,0.194,3.85e-05,0.0829,0.443,-15.487,0.0357,129.863,5,4,happy
Samba Della Benedizioni - Samba de Bendición,Saravá,Carlos Lyra,0AMJ4sLBjaUZnyLM9eZ4MT,2013-05-28,41,511386,0.625,0.722,0.487,0.000965,0.11,0.862,-13.877,0.0445,79.746,2,4,happy
Emoriô,Lugar Comum,João Donato,0wYjQFL5g9Lner2hcsj0vW,1975-01-01,43,205533,0.593,0.665,0.372,0,0.0941,0.749,-10.503,0.041,93.814,1,4,happy
Camarão Que Dorme a Onda Leva,"Sambabook Zeca Pagodinho, Vol. 2",Various Artists,60M76S6OMP5vnqZW7D4Nad,2014-03-20,66,168948,0.723,0.313,0.694,0,0.052,0.738,-6.694,0.0802,106.36,0,4,happy
Saudades do Amor,Ao Vivo No Morro,Grupo Revelação,7E85eQWZ2w5tBk7gitou1D,2009-10-01,46,208613,0.573,0.615,0.864,0,0.258,0.946,-6.094,0.0349,107.78,0,4,happy
"Comptine d'un autre été, l'après-midi",Amelie from Montmartre,Yann Tiersen,2AkcjsKlRbIBYGAgpQVFii,2001-04-23,0,140733,0.484,0.991,0.192,0.908,0.106,0.0559,-15.378,0.0465,100.084,2,4,study
I'm Forrest... Forrest Gump,Forrest Gump - Original Motion Picture Score,Alan Silvestri,1ijrMIqQvZNsnoqGukPzFD,1994-08-02,65,159666,0.402,0.979,0.046,0.513,0.0771,0.0967,-22.779,0.033,104.425,5,4,study
Arrival of the Birds,The Crimson Wing: Mystery Of The Flamingos,The Cinematic Orchestra,1xRCmlU2GyzGem2vw4glxK,2008-01-01,55,158346,0.39,0.944,0.123,0.918,0.0915,0.0579,-17.706,0.0394,129.947,3,3,study
To Build A Home,Ma Fleur,The Cinematic Orchestra,54KFQB6N4pn926IUUYZGzK,2007-05-07,75,371320,0.264,0.885,0.122,0.349,0.094,0.0735,-15.399,0.0349,148.658,9,4,study
That Home,Ma Fleur,The Cinematic Orchestra,6q4c1vPRZREh7nw3wG7Ixz,2007-05-07,56,103920,0.412,0.991,0.159,0.772,0.083,0.0389,-14.214,0.0278,85.462,9,4,study
Married Life,Up! Original Soundtrack,Various Artists,402diT3eJMfTvITPdyCxuM,2009-01-01,52,250573,0.277,0.971,0.0657,0.852,0.0828,0.107,-21.08,0.0398,82.513,0,3,study
"Nocturne in E-Flat Major, Op. 9, No.2","Chopin: Complete Noctures, Barcarolle, Berceuse",Frédéric Chopin,24A3HjyT5sGnrejr7yLDod,2011-02-01,0,232240,0.393,0.992,0.0462,0.906,0.1,0.071,-25.575,0.0379,136.88,3,3,study
Daydream - Extra Track,The Tree,Various Artists,32AyTEyxgP8WykRBwCuL1l,2010-09-03,0,513422,0.309,0.981,0.0949,0.901,0.13,0.0572,-19.294,0.04,132.048,10,3,study
2 Arabesques: No. 1 in E Major,Debussy / Ravel : Piano Music,Various Artists,11N5j12dwsKRZvhVxqgQ5y,1997-01-01,32,211533,0.336,0.995,0.0688,0.868,0.0818,0.133,-24.691,0.038,62.908,6,5,study
Trois Gymnopédies: No. 1,Satie - Gymnopedies and Beyond,Erik Satie,2RuemJNZXFItaEefpnK7yC,2014-09-12,0,192000,0.539,0.995,0.00825,0.963,0.0749,0.42,-33.836,0.053,129.066,7,3,study
Life of the Bird,The Crimson Wing: Mystery Of The Flamingos,The Cinematic Orchestra,3EoD6CaNuwZ5ZPW43Lm6v7,2008-01-01,27,213200,0.0843,0.947,0.0706,0.892,0.116,0.0456,-17.245,0.0371,176.567,1,4,study
The Return Journey,The Hobbit: The Battle Of The Five Armies - Original Motion Picture Soundtrack (Special Edition),Howard Shore,5dR394yvpaWsAX3nCs9mqK,2014-01-01,36,258146,0.0814,0.958,0.128,0.921,0.145,0.0335,-20.762,0.0405,82.446,4,1,study
"Swan Lake (Suite), Op.20a, TH 219: 1. Scene - Swan Theme",Tchaikovsky: Ballet Suites - Swan Lake; Sleeping Beauty; The Nutcracker,Wiener Philharmoniker,4a4nYmzb9dLXgFXZ0AmiDY,1994-01-01,0,170426,0.212,0.927,0.267,0.936,0.19,0.108,-14.061,0.0346,54.031,4,4,study
"Vivaldi: Violin Concerto in G Minor, RV 315 ""L'estate"" (No. 2 from ""Il cimento dell'armonia e dell'inventione"", Op. 8): III. Presto",Vivaldi: The Four Seasons,Antonio Vivaldi,2nnXe7n3Vivs7OfQKRsfWD,1989,63,173426,0.362,0.876,0.569,0.91,0.327,0.746,-15.394,0.0345,148.692,7,3,study
"Vivaldi: Violin Concerto in E Major, RV 269, No. 1, Spring: I. Allegro",Vivaldi: The Four Seasons,Antonio Vivaldi,6JV3m7TDJ9gsJNHp0e4MWM,1989,59,187720,0.575,0.883,0.174,0.898,0.108,0.381,-14.423,0.0424,113.134,4,4,study
"Fantasia in D Minor for Piano, K. 397",Light Classical Piano,Various Artists,02GgJgvkshlmYt2Frdt4Ha,2016-01-28,13,348051,0.35,0.993,0.0265,0.88,0.122,0.158,-25.106,0.0504,66.8,2,4,study
Tintagel,Bax: Symphony No. 7 / Tintagel,Arnold Bax,4bjAQljq5vfoB8YUTUC05l,2003,25,880226,0.0688,0.862,0.12,0.889,0.0957,0.0361,-19.178,0.0381,74.043,4,3,study
The Hours,The Hours (Music from the Motion Picture Soundtrack),Philip Glass,2vHxeotyQDiCsKaYsaDG5P,2002-12-05,44,467560,0.41,0.973,0.125,0.946,0.092,0.0351,-21.216,0.0324,103.984,7,4,study
An Ideal Marriage,Downton Abbey - The Essential Collection,Various Artists,3KAxwKlJZgPLFEsqUcSXMz,2012-01-01,0,165426,0.222,0.922,0.172,0.962,0.224,0.0551,-15.071,0.0371,102.561,7,3,study
Downton Abbey - The Suite - From “Downton Abbey” Soundtrack,Downton Abbey - The Essential Collection,Various Artists,47czZ2wYz2DMGULO0LjmpF,2012-01-01,0,429106,0.151,0.9,0.28,0.856,0.104,0.117,-14.456,0.0355,83.281,9,3,study
Losing Rachel,House Of Cards: Season 3 (Music From The Netflix Original Series),Jeff Beal,3oWjV71XcyhVafbqQBWpDn,2015-09-11,0,146506,0.315,0.859,0.222,0.878,0.1,0.0574,-16.472,0.0383,110.502,8,4,study
"Not Alone - Broadchurch - From ""Broadchurch""",Not Alone - Broadchurch,Ólafur Arnalds,3DfjOvvz0r0FqT8Afu4CBr,2015-04-01,0,199386,0.0614,0.958,0.028,0.923,0.0997,0.0371,-27.709,0.0428,209.662,7,4,study
To a Future With an End,The Age of Adaline (Original Motion Picture Score),Rob Simonsen,1QcCdieDgtVnEuPaNuoRPs,2015-04-21,24,101066,0.142,0.776,0.373,0.986,0.0845,0.0393,-17.133,0.045,140.914,3,4,study
The Winner Is - from Little Miss Sunshine,Fox Searchlight Pictures: 20th Anniversary Album,Various Artists,127dZoLOYo7zA2bXXs8hav,2014-12-09,0,185803,0.654,0.56,0.499,0.907,0.169,0.151,-9.084,0.0428,103.966,4,4,study
Raiders March,Indiana Jones and the Kingdom of the Crystal Skull (International Jewel),John Williams,1YYKKW40noxJ8BNBODnriF,2008-01-01,0,305203,0.422,0.73,0.351,0.904,0.0851,0.168,-13.002,0.0352,132.31,0,4,study
Destiny,Prince Of Persia: The Sands Of Time (Original Motion Picture Soundtrack),Harry Gregson-Williams,1hx9S1gyjUzDm6QrsEYxL8,2010-01-01,28,218653,0.077,0.901,0.0681,0.923,0.0516,0.0343,-19.366,0.0432,81.428,5,4,study
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1",Spring One - Vivaldi Recomposed - The Four Seasons,Max Richter,6UsUa3g9ecH3ZUSHlr1oeb,2013-01-01,0,155135,0.691,0.587,0.355,0.894,0.373,0.163,-12.27,0.0405,105.515,1,4,study
Overture - Mary Poppins - Instrumental / Soundtrack Version,Walt Disney Records The Legacy Collection: Mary Poppins,Various Artists,5RArFe7p1xEyeD1cpOJH34,2014-09-23,0,177720,0.351,0.717,0.261,0.2,0.0748,0.4,-17.248,0.0449,125.897,5,3,study
Beethoven's 5 Secrets,The Piano Guys,The Piano Guys,7xPQY7skgsujvvVyoE5lBi,2013-01-18,59,309773,0.302,0.795,0.515,0.904,0.079,0.111,-9.303,0.0414,150.285,2,4,study
Out of Africa,Moviola,John Barry,6H000qefA3b3OKce1Y9IBw,1992-09-24,46,268973,0.0777,0.244,0.13,0.896,0.349,0.0467,-21.709,0.0379,173.311,0,4,study
Pacific,Atlas: I,Sleeping At Last,4PNVvlqTDu9I16FWV7I6II,2014-07-08,46,177192,0.234,0.976,0.114,0.886,0.203,0.0457,-14.316,0.0388,116.888,0,3,study
Harry in Winter,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Various Artists,4H3KBBAe2Fcgv9lH6E10Oe,2005-11-09,62,174440,0.175,0.559,0.248,0.966,0.189,0.0396,-16.707,0.0423,110.447,11,3,study
Across the Stars (Love Theme from Star Wars: Episode II),Star Wars Episode 2: Attack of the Clones,John Williams,2QzCAcW1aA98LW8qMrgL5P,2002-03-11,0,333306,0.0871,0.87,0.0969,0.904,0.111,0.0431,-22.547,0.0386,81.621,0,3,study
The Jedi Steps and Finale,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),John Williams,6qyhCojkTfLM3GOB2gO6dm,2015-12-18,0,531586,0.226,0.912,0.258,0.936,0.0788,0.0668,-13.069,0.0347,102.388,7,4,study
"Nutcracker Suite, Op. 71a ""Dance of the Sugar-Plum Fairy""",Música Clásica para Estudiar,Various Artists,2Im2GSmcZI2I33n6t70ulB,2016-01-28,40,126000,0.3,0.756,0.0116,0.00502,0.376,0.0686,-38.365,0.0286,102.477,4,4,study
Swan Lake: No. 13 Danses des cygnes: Allegro moderato,Tchaikovsky: Swan Lake (Complete),Pyotr Ilyich Tchaikovsky,0BsSkXxPlc8MfYI8WdFjnB,1993,41,87173,0.58,0.949,0.0427,0.987,0.065,0.774,-32.398,0.0367,113.911,6,4,study
"The Nutcracker, Op. 71: No. 12, Divertissement: Dance of the Flutes",Tchaikovsky: The Nutcracker: Highlights,Pyotr Ilyich Tchaikovsky,51ecYUB0tiyLboRwIUd5tr,1989-03-07,36,153226,0.363,0.931,0.0479,0.939,0.143,0.322,-29.101,0.0392,126.688,2,4,study
Someone Loves Us,Everest (Original Motion Picture Soundtrack),Dario Marianelli,4Xa1aSo36rQ7gQVbajehWE,2015-09-18,33,116760,0.176,0.973,0.00998,0.854,0.0842,0.0385,-27.101,0.0456,83.902,4,4,study
Leaving India,Life of Pi,Mychael Danna,61k8mMaUXspLIUYuQQ4YKc,2012-11-16,35,80613,0.0947,0.984,0.0381,0.976,0.118,0.0383,-27.553,0.047,61.404,7,5,study
Comme une rosée de larmes,The Artist,Various Artists,5WcMi9WEoelkRnER7YWS6P,2011-10-10,0,204013,0.475,0.991,0.0351,0.934,0.0944,0.0494,-21.424,0.0597,93.239,4,4,study
"Overture (Suite) No. 3 in D Major, BWV 1068: II: Air on a G String",Great Composers - J.S. Bach,Johann Sebastian Bach,1zxRVxqYS312yXseGxthDi,2002,0,334400,0.101,0.743,0.236,0.859,0.181,0.0397,-16.914,0.0387,85.807,2,4,study
"Piano Sonata No. 11 in A major, K. 331: III. Rondo alla turca",Great Composers - Mozart 2,Wolfgang Amadeus Mozart,0aNDuUfXnTtXDIHhbqAQ3O,2009-06-29,0,209000,0.574,0.99,0.204,0.935,0.0927,0.664,-16.906,0.0467,133.725,9,4,study
"Everybody's Talkin' - From ""Midnight Cowboy""",Everybody's Talkin': The Very Best of Harry Nilsson,Harry Nilsson,7CAhxeaTYXn1qWNRkZl9ad,1967,0,164906,0.412,0.383,0.473,8.41e-05,0.541,0.676,-10.964,0.037,124.411,4,4,study
Brown Eyed Girl,Playlist: The Very Best Of Van Morrison,Van Morrison,4B2jOTUZBnlrjLHK1ertFR,2009-01-11,0,183520,0.496,0.182,0.586,0,0.332,0.899,-10.991,0.0353,148.882,7,4,study
La Vie en rose,Edith Piaf - The Best Of,Édith Piaf,3lAun9V0YdTlCSIEXPvfsY,2008-10-13,66,187733,0.371,0.981,0.278,0,0.272,0.338,-8.596,0.0303,82.331,7,4,study
Hoppípolla,Takk...,Sigur Rós,6eTGxxQxiTFE6LfZHC33Wm,2005-08-22,60,270013,0.312,0.0356,0.543,0.225,0.128,0.178,-9.875,0.0308,140.109,11,4,study
Beyond The Sea,Finding Nemo Original Soundtrack,Various Artists,5dbYPRnEZzxJwTE6p2fwtl,2003-01-01,0,266600,0.476,0.652,0.187,0,0.113,0.354,-19.368,0.0445,131.306,0,4,study
Beyond the Sea,The Ultimate Bobby Darin,Bobby Darin,2EIaO5knwUA3F2qnf9LV3S,2004-11-23,61,172480,0.521,0.723,0.516,0,0.257,0.569,-7.456,0.0369,136.483,2,4,study
Kiss Me,6 PICKS: Essential Radio Hits EP,Sixpence None The Richer,75fuzn623bYyKISKlFHdCw,2009-02-03,0,204753,0.529,0.116,0.741,1.23e-06,0.0736,0.455,-5.661,0.0268,100.004,3,4,study
"Non, je ne regrette rien",Edith Piaf - The Best Of,Édith Piaf,0D4gIeyrMtxOAvCWsTHN9x,2008-10-13,53,142280,0.382,0.858,0.354,3.11e-06,0.168,0.435,-6.595,0.0289,87.018,7,4,study
Stand by Me,The Very Best of Ben E. King,Ben E. King,6OzAkuRDmEpd52RF1g1WvU,1998-01-30,32,174800,0.668,0.5,0.271,2.53e-06,0.233,0.694,-10.321,0.0379,119.08,9,4,study
The Call,The Chronicles Of Narnia: Prince Caspian Original Soundtrack,Various Artists,1cspJ892efhnoFzT4A600G,2008-01-01,0,188880,0.349,0.934,0.101,0.000156,0.0777,0.325,-15.676,0.032,181.403,10,4,study
The Door in the Air,The Chronicles Of Narnia: Prince Caspian Original Soundtrack,Various Artists,0ecEYrwBg3ooX2UpyFP62f,2008-01-01,28,472560,0.0691,0.957,0.0758,0.891,0.306,0.0338,-22.468,0.041,63.283,7,4,study
"Only the Beginning of the Adventure (From ""The Chronicles of Narnia: The Lion, The Witch and the Wardrobe"")",100 Greatest Film Themes,Various Artists,4FKgCkwOeC9cHajkxOsboa,2007-05-28,28,290493,0.113,0.947,0.204,0.909,0.219,0.0351,-14.496,0.0382,84.696,0,4,study
Circle of Life,The Lion King: Special Edition Original Soundtrack (English Version),Various Artists,0GrhBz0am9KFJ20MN9o6Lp,2003-01-01,40,239853,0.424,0.0862,0.503,0,0.261,0.579,-11.695,0.039,83.915,10,4,study
Arrival at Aslan's How,The Chronicles Of Narnia: Prince Caspian Original Soundtrack,Various Artists,7KDqtGksJeOyjxXOaQP3aw,2008-01-01,52,177266,0.0899,0.936,0.162,0.986,0.0689,0.0308,-17.184,0.0427,74.038,6,5,study
"Canon & Gigue in D Major, P. 37: Canon","I don't like classical music, but I really like this!",Various Artists,00XG5DVuj6MDUCMo5bFoIY,2008,29,286773,0.0981,0.82,0.418,0.828,0.369,0.183,-9.051,0.0384,78.801,2,4,study
Rey's Theme,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),John Williams,3IRYrM9MVI79zHkWoiulnV,2015-12-18,0,191066,0.193,0.978,0.157,0.9,0.0803,0.144,-16.516,0.0347,101.686,9,4,study
River Flows In You - Original,First Love (Yiruma Piano Collection),Yiruma,47ZWr1Nb0PUgmKgyg5JkgO,2001-11-27,9,185527,0.31,0.988,0.218,0.952,0.085,0.0969,-21.398,0.0507,145.074,9,4,study
Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,Chopin: Nocturnes (Volume 1),Frédéric Chopin,7n92QzQomRCLlciO14X0kd,2010-05-18,68,268426,0.387,0.99,0.0451,0.913,0.112,0.071,-24.698,0.0364,61.494,3,4,study
Impromptu In G Flat D899 No.3: Andante,Wakefield (Original Motion Picture Soundtrack),Aaron Zigman,2ZFebXhIQNdCscjUeAnqtj,2017-06-16,0,368146,0.21,0.994,0.0223,0.903,0.11,0.0393,-27.225,0.0347,64.074,6,4,study
"Nocturne, Op. posth. in C-Sharp Minor: Lento",Chopin: Complete Nocturnes,Frédéric Chopin,0bcGY7mfG10QfeaDbz97hC,2010-06-22,64,239973,0.272,0.992,0.00397,0.9,0.0763,0.19,-31.601,0.0475,72.059,1,4,study
"Nocturnes, Op. 9: No. 2 in E-Flat Major. Andante",Chopin: The Essentials,Frédéric Chopin,7yMSBYlmVEZYZS6V1SLrth,2010-02-09,47,274040,0.422,0.989,0.0163,0.918,0.177,0.108,-26.561,0.0399,64.079,3,4,study
"Chopin - Valse Brillante In A-Flat Major, Op. 34, No. 1",Simply Chopin,Frédéric Chopin,7FCFsWZj8kkncmSyk42xyk,2007,0,298573,0.381,0.99,0.167,0.878,0.148,0.278,-17.902,0.0348,83.861,8,4,study
